p_Name of elected MP,h_Name,p_Birthdate,h_Date of Birth,h_State Name,p_State,p_Twitter,h_Constituency from which I am elected,p_Constituency,h_Party Name,p_Gender,p_Total Assets,h_Social and Cultural Activities,h_Educational Qualifications,h_Countries Visited,h_Permanent Address,p_Positions Held,h_Sports and Clubs,h_Birth Place,h_Profession,p_Income,h_Positions Held,p_Party affiliation,h_Special Interests
Murarilal Singh,Shri Murarilal Singh,#N/A,19-May-52,Chhattisgarh,Chhattisgarh,No,Surguja,Sarguja,Bharatiya Janata Party,M,"57,34,334",Promotion of  Tribal art and culture of Chattisgarh through the ST Suraksha Manch,Higher Secondary,,"Vill. & P.O.  - Dedri, Tehsil - Surajpur,  Distt. - Sarguja - 940 069, Chhattisgarh Tels. 09406135335, 09407631550 (M)",,,"Dedri,  Distt. Surguja (Chhattisgarh)",,"57,34,334",,Bharatiya Janata Party,Studying History
Vishnu Deo Sai,Shri Vishnu Deo Sai,#N/A,21-Feb-64,Chhattisgarh,Chhattisgarh,No,Raigarh,Raigarh,Bharatiya Janata Party,M,"23,02,000","Serving people belonging to scheduled castes and scheduled tribes, and taking interest in the treatment of sick people","Higher Secondary  Educated at Loyola Higher Secondary School, Kunkuri, Jashpur,Chattisgarh ",,"Vill. Bagia, P.O. Bandar Chuan, BagichaDistt. Jashpur - 496 331 ChhatishgarhTel. (07764) 254252",,Badminton and football,"Bagia, Distt. Jashpur (Chattisgarh)",,"23,02,000 23 L",,Bharatiya Janata Party,"Reading books, upliftment of tribals and working for their development; and serving the poor"
Patel Natubhai Gomanbhai,Shri Natubhai Gomanbhai Patel,#N/A,4-May-72,Dadra and Nagar Haveli,Dadra and Nagar Haveli,No,Dadra and Nagar Haveli,Dadar and Nagar Haveli,Bharatiya Janata Party,M,"8,34,94,860","Associated with Swaminarayan Sansthan, Silvasa",Under Matriculate,,"Plot No. 31, Yogi Sadan, Opp. Silvassa Police StationDadra and Nagar HaveliTelfax. (0260) 2632905",,,"Silvassa, (Dadra and Nagar Haveli)",,"8,34,94,860",,Bharatiya Janata Party,Social service & politics
K. V. Thomas,Prof. Kuruppassery Varkey Thomas,5/10/46,10-May-46,Kerala,Kerala,https://twitter.com/KV_Thomas,Ernakulam,Ernakulam,Indian National Congress,M,"1,50,41,664",Actively participated in labour movement and literary activities.,"M.Sc.(Chemistry) Educated at Sacred Heart College, Kochi, Kerala","China, England, France, Germany, Hong Kong, Indonesia, Italy, Japan, Kuwait, Malaysia, Nepal, Oman,Philippines, Portugal,  Rome,  Singapore, Sri Lanka, South Korea, Taiwan, U. A. E., Saudi Arabia and Yugoslavia","Prof. K.V. Thomas Road, Thoppumpady, Kochi  - 682 005  KeralaTels. (0484) 2232530, 2231999, 2235400  0944778331, 9847077150 (M)  Fax. (0484) 2235541",,,"Kumbalanghi, Distt. Kochi (Kerala)",,"1,50,41,664 1",,Indian National Congress,Tourism and fisheries development
O. S. Manian,Shri O. S. Manian,29/04/1954,29-Apr-54,Tamil Nadu,Tamil Nadu,No,Mayiladuthurai,Mayiladuthurai,All India Anna Dravida Munnetra Kazhagam,M,"86,35,089",,"P.U.C. Educated at Kathir Mohaitheen College, Athirampattinam, Tamil Nadu",,"Oradiyampulam, Thalanyar IIIrd,Post Vetharaniyam T.K. Nagapattinam-DT Tamil NaduTels.  (04369) 234567 09444078111 (M)",,,"Oradiyampulam, Nagapattinam (Tamil Nadu)",,"86,35,089 86 L",,All India Anna Dravida Munnetra Kazhagam,
Mansukhbhai Vasava,Shri Mansukhbhai D. Vasava,6/1/57,1-Jun-57,Gujarat,Gujarat,No,Bharuch,Bharuch,Bharatiya Janata Party,M,"24,41,000",,"B.A., M.S.W.  Educated at South Gujarat University, Surat and Gujarat Vidyapith,                                            Ahmedabad,Gujarat ",,"Rajpipla, Rajendra Nagar Society, Jalaram RoadDistt. Narmada GujaratTel. (02640) 224300",,,"Junaraj, Distt. Narmada (Gujarat)",,"24,41,000 24 L",,Bharatiya Janata Party,Music (Bhakti Sangeet) 
Saugata Roy,Prof. Saugata Roy,8/6/47,6-Aug-47,West Bengal,West Bengal,No,Dum Dum,Dum Dum,All India Trinamool Congress,M,"39,71,408",Active trade unionist; connected with over hundred trade unions; connected with slum improvement and anti-illiteracy work,"M.Sc., LL.B.   Educated at Science College, University of  Calcutta and Jogesh Chandra Law College and Presidency College, Kolkata, West Bengal","Egypt, Finland,Jordan, Isreal, Myanmar, Pakistan, Poland, U.S.S. R.","162/D 593, Lake Gardens, Kolkata - 700 045  West BengalTels. (011) 24224650, 24220772, 9830031220 Fax. (011) 24224181",,"Cricket, hockey, swimming and table tennis; Member, Mohan, Bagan Club",Shillong (Meghalaya),,"39,71,408 39 L",,All India Trinamool Congress,Anti-illiteracy work; drama
Ajay Kumar,Dr. (Shri) Ajay Kumar,8/10/62,10-Aug-62,Jharkhand,Jharkhand,No,Jamshedpur,Jamshedpur,Jharkhand Vikas Morcha (Prajatantrik),M,"1,23,84,895","Quiz time, BBC Mastermind and won 1st prize in All India Inter Academy","MBBS, Post Graduate  Diploma in  (i)Business Administration and (ii)  Hospital Administration; Educated at Jipmer, Pondicherry","Denmark, Finland, Germany, Israel, Italy, Oslo, Singapore, Switzerland,  United Kingdom and United States","F 2/C, Vikrampur, Opp. Parvathi Nursing Home,Vikrampuri, Secunderabad, Andhra Pradesh",,"Football, squash and running half marathon",Mangalore (Karnataka),,"1,23,84,895 1",,Jharkhand Vikas Morcha (Prajatantrik),"Sports, quizzing, rural development and poverty alleviation"
M. B. Rajesh,Shri M. B. Rajesh,#N/A,12-Mar-71,Kerala,Kerala,No,Palakkad,Palakkad,Communist Party of India (Marxist),M,"11,05,474",,"M.A. (Economics), LL.B. Educated at NSS College Ottappalam, University of Calicut and Kerala Law Academy, Trivandrum, University of Kerala","Algeria, Cuba, France, Portugal and Russia","Nalinakanthi, AKG Nagar Colony, Karinagarappully, P.O. - Kadamkode, Palakkad, KeralaTels. (0491) 2507000, 9446343499 (M)",,"Football, cricket, hockey, athletics etc.",Jalandhar (Punjab),,"11,05,474 11 L",,Communist Party of India (Marxist),Reading
Sanjay Shamrao Dhotre,Shri Sanjay Shamrao Dhotre,26/02/1959,26-Feb-59,Maharashtra,Maharashtra,No,Akola,Akola,Bharatiya Janata Party,M,"1,93,35,144",Participated actively in Art of Living and conducting <i>Navchetana Shivir</i>,"B.E. (Mech.) Educated at Government College of Engineering,  Amravati, Maharashtra",Thailand,"At & Post. Palso, (Badhe), Teh. & Distt. Akola, Maharashtra -444001Tels. (0724) 2457214, 2452000",,Cricket and  tennis,"Akola, (Maharashtra)",,"1,93,35,144 1",,Bharatiya Janata Party,"Reading, organic farming, spirituality, personality deveolpment, yoga, water conservation, infrastructure development in rural and semi-urban areas"
Meghe Datta,Shri Datta Raghobaji Meghe,11/11/36,11-Nov-36,Maharashtra,Maharashtra,No,Wardha,Wardha,Indian National Congress,M,"28,77,39,504",,"B.A.  Educated at Nagpur University, Nagpur, Maharashtra",Widely travelled,"135, Pandey  Layout,Khamla, Nagpur - 440 025  MaharashtraTels. (0712) 2283699, 2245318  09373104019 (M)",,,"Pawnar, Distt. Wardha (Maharashtra)",,"28,77,39,504 2",,Indian National Congress,Social and educational work
Jitendra Singh,Shri Jitendra Singh,6/12/71,12-Jun-71,Rajasthan,Rajasthan,No,Alwar,Alwar,Indian National Congress,M,"6,79,67,810",,"B.Com  Educated at Delhi University, Delhi and Wynberg Allen, Mussoorie, Uttarakhand",Widely travelled,"Phool Bagh Palace,Alwar, RajasthanTel. (0144) 2347253",,"Trap Shooting, National Medalist",New Delhi,,"6,79,67,810 6",,Indian National Congress,Motor Mechanics & Flying Aeroplanes
Sanjay Dina Patil,Shri Sanjay Dina Patil,#N/A,16-Jan-69,Maharashtra,Maharashtra,https://twitter.com/SanjayDinaPatil / https://twitter.com/northeastmumbai,Mumbai-North-East,Mumbai North East,Nationalist Congress Party,M,"43,23,503","(i) Awareness for AIDS and drug abuse; (ii) Organize State level tournaments for various sports viz., cricket, kabaddi, etc.; (iii)District level competitions held for dance drama, singing, etc. (iv) To promote cultural interest through my Trust; (v) Free medical camps viz., cataract operations, free distribution of spectacles, blood donation, complete health check-up free of cost; and (vi) Actively pursuing the cost of propogating free job oriented computer education to economically under-privileged children.",B.Com. Educated at Mumbai University,,"Sanjay Apartments, Dina Patil Est., Station Road, Bhandup (W) Mumbai - 400 078Tels. (022) 25947783, 09820096350 (M) Fax. (022) 25965912",,"Member, Constitution Club, Delhi and Member of Adarsh Sports Club, Mumbai",Mumbai (Maharashtra),,"43,23,503",,Nationalist Congress Party,(i) To provide high quality education (100% literacy) amongst slum and under-privileged children; and (ii) To create awareness on cleanliness and personal hygiene amongst the under-privileged children.
Sonia Gandhi,Smt. Sonia Gandhi,12/9/46,9-Dec-46,Uttar Pradesh,Uttar Pradesh,https://twitter.com/SoniaGandhiG,Rae Bareli,Rae Bareli,Indian National Congress,F,"1,37,94,768",,"(i) Three years course in foreign languages (English & French) completed in 1964 at Istituto Santa Teresa, Turin, Italy (ii) Certificate in English from Lennox Cook School, Cambridge, U.K. completed in 1965",Widely travelled ,,,,"Lusiana, Vicenza, (Italy)",,"1,37,94,768 1",,Indian national congress,"Protection of the environment; Indian handlooms, handicrafts, Indian classical and tribal art & music; conservation of oil painting."
Yashbant Narayan Singh Laguri,Shri Yashbant Narayan Singh Laguri,18/04/1971,18-Apr-71,Orissa,Odisha,No,Keonjhar,Keonjhar,Biju Janata Dal,M,"5,75,000",,"B.A. Educated at C.S. College, Champua, Utkal University",,"At. Ramala, P.O. Champua,Distt. Keonjhar,  OrissaTel. 9438240053 (M)",,,"Vill. Ramala, Distt. Keonjhar (Orissa)",,"5,75,000 5 Lacs",,Biju Janata Dal,
Narahari Mahato,Shri Narahari Mahato,3/10/56,10-Mar-56,West Bengal,West Bengal,No,Purulia,Purulia,All India Forward Bloc,M,"30,86,000","Worked as teacher and subsequently as Headmaster in Srirampur High School, Joypur, Purulia, West Bengal","M.A.(Pol. Sc., History, Bengali), B.Ed.  Educated at Burdwan University, West Bengal and Ranchi University, Jharkhand",,"Vill. Selani P.O. Ramamoti, (via Namopara S.O.) P.S. Joypur,  Distt. Purulia,  West BengalTels. (03252)  202349, 9434759896,(M) Fax. (03252) 224142",,football and badminton,"Selani, Purulia (West Bengal)",,"30,86,000 30 L",,All India Forward Bloc,"Social work, reading books on political topics, upliftment of the weaker sections of society, removal of social distortions and cultural activities"
Magunta Sreenivasulu Reddy,Shri Magunta Sreenivasulu Reddy,15/10/1953,15-Oct-53,Andhra Pradesh,Andhra Pradesh,No,Ongole,Ongole,Indian National Congress,M,"10,08,50,672","Founded school, Junior Degree Colleges/and undertook construction of school buildings in Ongole, Nellore and  Prakasham Districts in Andhra Pradesh, particularly in villages; takes keen interest in use of technology for the welfare of mankind; took part in various activities aimed at spread of literacy and political awakening through personal interactions with masses in villages; Construction of Community Halls, Community Centres and Marriage Halls; supply of drinking water through tankers in villages; providing ambulances for health purposes, orgzanising health centres; necessary assistance to the sick and destitute; provided relief and rehabilation to Tsunami victims and of natural disasters like floods, rains etc. in Andhra Pradesh; organising prgrammes and health camps at ward level for the upliftment of the oppressed and depressed sections of society and to secure  social justice to them by promoting socio-cultural activities","B.Com   Educated at  V.R. College, Nellore,Andhra Pradesh",Widely travelled,"37-1-419 (10), Ram Nagar, 2 Lane,Ongole - 523 001  Andhra PradeshTels: (08592) 231234,235855,  Fax (08592) 228999",,Playing football and cricket,Nellore (Andhra Pradesh),,"10,08,50,672 1",,Indian National Congress,"Identification  of immediate needs and long term requirement of the public in general and getting  schemes prepared with the help of technical people through our resources in addition to Govt. Schemes; have been monitoring State Government/Govt. of India Schemes and get them implemented to ensure that the benefit reaches to all section of the people in the Consitutency; arranging State level conferences and meetings relating to Panchayati Raj, Party and leading several delegations to solve and mitigate the problems of the people particularly of Tabacco farmers; taken keen interest in the establishment of airport at Ongole; modernization of Bucklingam Canal flowing through Ongole; laying of new railway lines between Nadikudi and Sri Kalahasti and Ongole-Donakonda and provision of additonal bypass to Ongole Town while 6-laning of NH-5."
Manda Jagannath,Dr. M. Jagannath,22/05/1951,22-May-51,Andhra Pradesh,Andhra Pradesh,No,Nagarkurnool,Nagarkurnool,Indian National Congress,M,"2,81,26,000","Social service; organising social functions, free health camps for the poor in rural and urban areas ","M.B.B.S., D.L.O., M.S. (E.N.T.) Educated at Osmania Medical College, Hyderabad,Andhra Pradesh ","Widely travelled; Member Indian Parliamentary Delegation to Australia, Bangkok, Bangladesh, Canada, China, Cuba, Dubai, France,Hongkong, Iran, New Zealand, Singapore, Spain and U.K; represented  India in the International Conference on Racism, South Africa; Member, Indo-China Parliamentary Committee, Malaysia","H. No. 17-1-382/V/2/11, Vaishali Nagar Colony,  Champapet,Hyderabad - 500 079, Andhra PradeshTels. (040) 24078990, 24075280, 24078881",,Cricket and kabaddi ,"Vill. Kondairu,Mahaboobnagar (Andhra Pradesh)",,"2,81,26,000 2",,Telangana Rashtra Samithi,Social service
Somendra Nath Mitra,Shri Somendra Nath Mitra,#N/A,31-Dec-43,West Bengal,West Bengal,No,Diamond Harbour,Diamond Harbour,All India Trinamool Congress,M,"1,41,80,832","A veteran mass leader of West Bengal, working for the welfare of down trodden people of the State, especially in the slum areas and villages for more than 40 years; mobilizing peoples support for party programmes and fight against social evils associated with social organisations to promote communal harmony and rural development","B.Sc., LL.B. Educated at City College, Kolkata, West Bengal",Widely travelled,"A-1, Surya Apartment, 3 Lower Rowdon Street,Kolkata-700020, West BengalTels. (033)24742430 9013180275, 9831809239 (M)",,"Member, (i) Cricket Association of  Bengal (CAB); (ii) Mohan Bagan Athletic Club; (iii)East Bengal Club; and (iv) Mohammedan Sporting Club","Kalorah, Dist. Jessore (Bangladesh)",,"1,41,80,832",,All India Trinamool Congress,
R. Thamaraiselvan,Shri R. Thamaraiselvan,26/05/1963,26-May-63,Tamil Nadu,Tamil Nadu,https://twitter.com/ThamaraiMP,Dharmapuri,Dharmapuri,Dravida Munnetra Kazhagam,M,"70,31,808",Involved in public life during school and college days through DMK Party,"B.Sc., B.L. Educated at (i) Govt. Arts College, Dharmapuri and (ii) Govt. Law College, Trichy, Tamil Nadu",,"5/1551, Nagarkoil Street,Elakkiyampatty, Collectorate,  Dharmapuri-636705 Tamil NaduTels. 9381032256, 9840106295, 09443224000 (M)",,"Cricket, football and volleyball","Elakkiyampatty, Distt. Dharmapuri (Tamil Nadu)",,"70,31,808 70 L",,Dravida Munnetra Kazhagam,"Social reforms, politic and law"
Haribhau Madhav Jawale,Shri Haribhau Madhav Jawale,6/1/53,1-Jun-53,Maharashtra,Maharashtra,No,Raver,Raver,Bharatiya Janata Party,M,"78,42,881",Development of Agriculture and Rural Education.,"B.Sc.   Educated at M.J. College, Jalgaon, Maharashtra",,"(i) At & P.O. - Bhalod, Taluk - Yawal,District - Jalgaon - 425 304 (MS)  MaharashtraTels. (02585) 242797, 242627 Fax. (02585) 240403",,,"Bhalod, Distt. Jalgaon  (Maharashtra)",,"78,42,881 78 L",,Bharatiya Janata Party,"(i) Ground water recharge, water management ;(ii) Rural Industrialisation based on agricultural inputs specially  Banana; (iii) Upliftment of rural co-operative societies working for farmers; (iv) Environment and global warming; (v) Non-conventional energy resources and development."
Poonamben Veljibhai Jat,Smt. Poonam Veljibhai Jat,4/9/71,9-Apr-71,Gujarat,Gujarat,No,Kachchh,Kachchh,Bharatiya Janata Party,F,"5,24,126",Member (i) different social organisations; and (ii) Nehru Yuva Kendra; Chairperson in different committees of Gandhidham Municipality,"Higher Secondary Educated at Somaiya College, Mumbai",,"Plot No. 6, Bharat Nagar,  Gandhidham,Kutch, GujaratTels. (02836) 237138 09879630349 (M) Fax. (02836) 237138",,,Mumbai (Maharashtra),,"5,24,126 5 Lacs",,Bharatiya Janata Party,
Gajendra Singh Rajukhedi,Shri Gajendra Singh Rajukhedi,12/11/64,11-Dec-64,Madhya Pradesh,Madhya Pradesh,No,Dhar,Dhar,Indian National Congress,M,"2,06,53,133",,"B.A., LL.B.  Educated at Government Arts and Commerce College and Christian College, Indore, Madhya Pradesh ",Russia & Finland,"185, Radha Raman Colony, Manavar, Distt. Dhar,  Madhya PradeshTels. 9424599991 (M)",,,"Rajukhedi, Dhar (Madhya Pradesh)",,"2,06,53,133 2",,Indian National Congress,
Rajagopal Lagadapati,Shri Rajagopal Lagadapati,16/02/1964,16-Feb-64,Andhra Pradesh,Andhra Pradesh,https://twitter.com/LRajagopalMp,Vijayawada,Vijayawada,Indian National Congress,M,"1,22,29,64,909","<I>Chairman</I>(i) Lanco Foundation (Humantarian Trust primarily focuses on providing aids and appliances to the physically challenged or differently abled people through artificial limb centres etc.); and (ii) Rajagopal Foundation established for, utensils and other household needs to flood and fire victims in Krishna District and for grants of scholarships to meritorious poor students and also extend medical facilities to poor and downtrodden initiated  ""Sujalavahani"" drinking water bore-well programme; organised blood donation camps, health camps, sports meets; actively associated with Red Cross and similar other organisations;  promoted and encouraged Kondapalli Art; and organised Tiranga Run in memory of Late Shri Pingali Venkayya, a great Patriot, who designed the  Indian National Flag.","B. Tech. (Mechanical) Educated at Siddhartha Engineering College, Vijayawada, Andhra Pradesh",Widely travelled,"32-2-10C, Madhu Nagar, MogalrajpuramVijaywada, Andhra PradeshTels. (0866) 2474500, 2492345  9848079999 (M) Fax.(0866) 2496622",,,Nellore (Andhra Pradesh),,"1,22,29,64,909",,Indian National Congress,
P Chidambaram,Shri Palaniappan Chidambaram,16/09/1945,16-Sep-45,Tamil Nadu,Tamil Nadu,No,Sivaganga,Sivaganga,Indian National Congress,M,"27,39,08,542","<I>Trustee,</I> (i) Rajiv Gandhi Foundation; and (ii) Ilakkiya Chintanai, (Literary Association), Chennai","B.Sc., B.L., M.B.A.  Educated at Madras University, Chennai, Tamil Nadu and Harvard University, Boston, Massachusetts (U.S.A.)",Widely travelled,"16, Pycrofts Garden Road,Chennai - 600 006  Tamil NaduTelfax (044) 28279025",,"Badminton, Chess, Tennis; <I>Member,</I> (i) Kodaikanal Club;  and (ii)  Gymkhana Club, Delhi","Kanadukathan, Distt. Sivaganga (Tamil Nadu)",,"27,39,08,542 2",,Indian National Congress,Modern literature in general and Tamil literature in particular
Devendra Nagpal,Shri Devendra Nagpal,#N/A,1-Jan-71,Uttar Pradesh,Uttar Pradesh,No,Amroha,Amroha,Rashtriya Lok Dal,M,"13,24,25,712",,"Graduate   Educated at KGK College, Moradabad, Uttar Pradesh",,"13, Shivpuri Ward No. 12, Nagar Panchayat Gajraula,Dhannaura, J.P. Nagar, Uttar Pradesh",,Cricket and badminton,"Moradabad, Dist- Moradabad (Uttar Pradesh)",,"13,24,25,712 1",,Suspended From RLD,Upliftment of poor families and raising problems relating  to farmers
Sambasiva Rayapati Rao,Shri Rayapati Sambasiva Rao,7/6/43,7-Jun-43,Andhra Pradesh,Andhra Pradesh,No,Guntur,Guntur,Indian National Congress,M,"14,71,43,582","Patron of various fine arts and cultural associations and functions; Founder, Educational Institutions like RVR & JC College of Engineering, Law and Education in Guntur ; arranged water tanker at own cost for supplying water to the needy villagers; initiated development work in rural areas with the aid of a proclainer owned by him; provided financial assistance to the poor in rural areas; and undertook philanthropic acitivities like construction of Churches, Mosques and Temples; Member,Andhra Social and Cultural Association, Chennai","B.Sc.   Educated at  New Science College, Hyderabad, Andhra Pradesh",Widely travelled,"4th Line, LakshmipuramGuntur - 522 007, Andhra PradeshTels. (0863) 2350400, 2350500  09849061777 (M) Fax. (0863) 2240500",,"Life Member (i) Guntur Club, (ii) Delhi Race Club and (iii) Madras Race Club","Unguturu, Distt. Guntur(Andhara Pradesh)",Agriculturist                                               Social Worker                                               Religious Missionary                                        Trader,"14,71,43,582 1",,Indian National Congress,"Study of political science, industrial development and export promotion"
Rama Devi,Smt.  Rama Devi,5/5/49,5-May-49,Bihar,Bihar,No,Sheohar,Sheohar,Bharatiya Janata Party,F,"2,60,43,859","Shared the sorrows of poor people and demanded the red card, ration card, sulabh shauchalaya and schools for them; raised voice for those who did not get old-age pension and encouraged womenfolk for getting sanctioned money for pregnant women from Government of India","B.A., LL.B.  Educated at S.K.J.Law College and Jaintpur College,  Bihar University, Bihar","Mauritius, Singapore, United Kingdom and  United Arab Emirates","Brahmapura, Krishna Toli, Muzaffarpur - 842 003, BiharTels. (0621) 2260164, 09973254377, 09431240750 (M)",,"Kabaddi, kho-kho, badminton, carrom board and football; <I>Member,</I> Muzaffarpur Club","Lalganj, Distt. Vaishali (Bihar)",,"2,60,43,859 2",,Bharatiya Janata Party,"Upliftment of the poor women and encouraging them forparticipating in politics, studying books"
Uday Pratap Singh,Shri Uday Pratap Singh,6/9/64,9-Jun-64,Madhya Pradesh,Madhya Pradesh,No,Hoshangabad,Hoshangabad,Indian National Congress,M,"3,99,06,000",Running school affiliated to C.B.S.E. in rural areas where village children get education; and working among the poor and deprived section.,"B.Com  Educated at Sagar University, Sagar, Madhya Pradesh",,"Vill. Lolari, Teh.Tandu Kheda, Post. Deori,Distt. Narsinghpur, Madhya PradeshTel. (07793) 276822, 09425168755 (M) Fax: (07793) 276922",,"Cricket; and <I>Member</I>, Rotary Club","Lolri, Disttt. Narsinghpur (M.P)",,"3,99,06,000 3",,Indian National Congress,Being concerned for population control
Vincent H Pala,Shri Vincent H Pala,14/02/1968,14-Feb-68,Meghalaya,Meghalaya,https://twitter.com/vincentpala,Shillong,Shillong,Indian National Congress,M,"25,16,21,190",,"B.E. (Civil)    Educated at Jalpaiguri Govt. Engineering College, New Jalpaiguri, West Bengal","Argentina, Australia, Brazil, Belgium, China, Denmark, France, Germany, Hongkong, Holland, Italy, Japan, Nairobi,Norway,  Sweden, Singapore, South Africa, Thailand, U.A.E.  U.K. and U.S.A.","Edamanry Cottage, Dhankheti,Shillong-793001,  MeghlayaTels.(0364) 2226575, 09436106333 (M) Fax. (0364) 2504321",,"Athletics,driving music and reading","Vill. Lamyrsiang, Distt. Jaintia (Meghalaya)",,"25,16,21,190 2",,Indian National Congress,Sports and Construction
Jayant Chaudhary,Shri Jayant Chaudhary,27/12/1978,27-Dec-78,Uttar Pradesh,Uttar Pradesh,No,Mathura,Mathura,Rashtriya Lok Dal,M,"3,02,04,219",,"M.Sc., (Accounts and Finance) Educated at London School of Economics and Political Science, U.K","Australia, France, China, Germany, U.K. and U.S.A.","12, Tughlak Road,New Delhi-110 011Tels. (011) 23792040  9818246947(M)",,"Chess and cricket, <I>Member,</I> (i) Delhi State Rifle Association; (ii) DDCA; and (iii) Delhi Flying Club","Dallas, Texas (USA)",,"3,02,04,219 3",,Rashtriya Lok Dal,
Virender Kashyap,Shri Virender Kashyap,9/5/50,5-Sep-50,Himachal Pradesh,Himachal Pradesh,No,Shimla,Shimla,Bharatiya Janata Party,M,"34,34,928","Founder of ""Samajik Dalit Pirit Uthan Sansthan"" for the upliftment of socially depressed communities","M.Sc. (Physics) Educated at Himachal Pradesh University, Himachal Pradesh","Egypt, Germany, Greece, Holland, Israel, Spain and Turkey","Daulat Niwas, Gupta Lodge, The Mall Solan - 173 212, Himachal Pradesh Tels. (01792) 222998, 09816274646 (M) Fax. (01792) 222998",,"Cricket, volley ball and badminton","Bhalawag, Distt. Shimla (Himachal Pradesh)",,"34,34,928 34 L",,Bharatiya Janata Party,"Horticulture, farming and agriculture"
Adityanath,Shri Yogi Adityanath,6/5/72,5-Jun-72,Uttar Pradesh,Uttar Pradesh,https://twitter.com/yogiaadityanath,Gorakhpur,Gorakhpur,Bharatiya Janata Party,M,"21,82,212","Providing hostel for socially and economically weaker and backward children; working for mass-awakening against religious and social conventions, evils; running more than two dozens educational institutions and working for  extending health facilities to rural areas","B.Sc. Educated at H.N.B. Garhwal University,  Srinagar, Uttarakhand","Combodia, Malaysia, Nepal, Singapore,Thailand and U.S.A.","361, Purana Gorakhpur, Shri Gorakhnath Mandir,Gorakhpur - 273 001 Uttar PradeshTels.(0551) 2255453, 09450966551(M) Fax (0551) 2255455",,Badmintion and swimming.,"Panchur, Distt. Pauri Garhwal (Uttarakhand)",,"21,82,212 21 L",,Bharatiya Janata Party,Campaigning for cow-protection and promotion; Rashtra Raksha Abhiyan for social and national security
Kristappa Nimmala,Shri Kristappa Nimmala,#N/A,25-Nov-56,Andhra Pradesh,Andhra Pradesh,No,Hindupur,Hindupur,Telugu Desam Party,M,"1,57,10,800",,"B.Com.   Educated at Osmania College, Kurnool, Andhra Pradesh","Australia, Malaysia, New Zealand and Singapore","Gorantla, Anantapur,  Distt - 515231Andhra PradeshTels. (08556) 2235199 094406051999 (M)",,,"Perumalla Palli, Anantapur (Andhra Pradesh)",,"1,57,10,800 1",,Telugu Desam Party,
Thol. Thirumavalavan,Shri Thirumaa Valavan Thol,7/10/62,10-Jul-62,Tamil Nadu,Tamil Nadu,No,Chidambaram,Chidambaram,Viduthalai Chiruthaigal Katchi,M,"23,47,700","Working for the upliftment of downtrodden, particulary for dalits, women, minorities and so on for the past 25 years.","B.L., M.A. (Criminology), B.Sc. (Chemistry) Educated at Presidency College, Chennai and Madras Law College, University of Madras, Chennai, Tamil Nadu",,"R-62, IInd, Avenue, T.N. H.B. Colony,Velachery, Chennai - 600 042, Tamil NaduTels. (044) 22451055",,"America,Austrila, Canada, England, France, Germany, Malaysia,Singapore, Sri Lanka, South Africa, Switzerland and U.A.E.","Anganur, Distt. Ariyalur (Tamil Nadu)",Social Worker                                               Advocate                                                    Publisher                                                   Writer,"23,47,700 23 L",,Viduthalai Chiruthaigal Katchi,"Social work, socio-political activities"
Jaipal Reddy Sudini,Shri Jaipal  Sudini Reddy,16/01/1942,16-Jan-42,Andhra Pradesh,Andhra Pradesh,No,Chelvella,Chevella,Indian National Congress,M,"5,61,50,333",,"M.A. (English), B.J. Educated at Osmania University, Hyderabad,Andhra Pradesh ",Widely travelled ,"H.No. 6-70, Village and Mandal Madgul,Distt. Mahbubnagar - 509 001  Andhra Pradesh",,,"Madgul, Distt. Mahbubnagar (Andhra Pradesh)",,"5,61,50,333 5",,Indian National Congress,
Daggubati Purandeswari,Smt. Daggubati Purandeswari,22/04/1959,22-Apr-59,Andhra Pradesh,Andhra Pradesh,No,Visakhapatnam,Visakhapatnam,Indian National Congress,F,"20,26,39,261",,"B.A. (Literature) and Graduate in Gemology Educated at South Indian Educational Trust and  Women College, Chennai and Gemological Institute of India, Tamil Nadu",,"65, Road No. 13,Banjara Hills, Hyderabad - 500 034, Andhra PradeshTel. (040) 23394959, (08594) 242434",,,Chennai (Tamilnadu),,"20,26,39,261 2",,Indian National Congress,
Sandeep Dikshit,Shri Sandeep Dikshit,15/08/1964,15-Aug-64,Delhi,NCT of Delhi,https://twitter.com/SandeepDikshit,East Delhi,East Delhi,Indian National Congress,M,"2,27,46,428",Actively involved in theatre and folk dance of Gujarat,"M.A., P.G. Diploma in Rural Development   Educated at St. Stephans College, University of Delhi and Institute of Rural Management, Anand,Gujarat","Austria, Combodia, France, Lebanon, South Africa and  U.K.","B-2, Nizamuddin EastNew Delhi- 110 013Tels. (011) 23385757 Fax.23070505",,"Cricket, squash, badminton and running",Lucknow ( Uttar Pradesh),,"2,27,46,428 2",,Indian National Congress,"Rural livelihood, poverty, employment and  natural resource management"
Choudhury Mohan Jatua,Shri Choudhury Mohan Jatua,#N/A,9-Jun-38,West Bengal,West Bengal,No,Mathurapur,Mathurapur,All India Trinamool Congress,M,"25,85,000",,"M.Com. Educated at Kolkata University, West Bengal",,"Vill. Swethapakuria, P.O. Nayabad, Rajpur,Distt.  24 Pargona (South), West BengalTel. (033) 23580641",,,"Nagendrapur, 24 Pargana South (West Bengal)",,"25,85,000 25 L",,All India Trinamool Congress,Sports and music
